b,J,gap_even,gap_odd,risk,metric
5.000000000000000000e-01,2.247702388060363043e-02,7.624833583349871491e-01,1.060593414899863696e+00,2.426257783872188822e-01,3.856404172609614184e-02
5.124999999999999556e-01,2.219319854030821215e-02,7.654866543931964085e-01,1.061354648062005523e+00,2.387901357339110575e-01,3.770086261737907313e-02
5.250000000000000222e-01,2.191393631723254076e-02,7.684829168529432319e-01,1.062113853884707471e+00,2.350298936716417875e-01,3.686013193096235319e-02
5.374999999999999778e-01,2.163914875246414349e-02,7.714717966498876311e-01,1.062871036718163076e+00,2.313435971322458096e-01,3.604124694805771467e-02
5.500000000000000444e-01,2.136874931090931851e-02,7.744529552316633536e-01,1.063626200946335976e+00,2.277298071774828125e-01,3.524361898777182006e-02
5.625000000000000000e-01,2.110265333659910869e-02,7.774260643810949611e-01,1.064379350980998229e+00,2.241871018385464820e-01,3.446667331388667682e-02
5.749999999999999556e-01,2.084077801395500806e-02,7.803908060552930959e-01,1.065130491267689772e+00,2.207140768522906638e-01,3.370984901824315705e-02
5.875000000000000222e-01,2.058304232011559654e-02,7.833468722128444917e-01,1.065879626279761627e+00,2.173093463161027972e-01,3.297259888526198057e-02
5.999999999999999778e-01,2.032936699811971337e-02,7.862939646548972039e-01,1.066626760520361428e+00,2.139715432532950934e-01,3.225438923790294177e-02
6.125000000000000444e-01,2.007967450128861353e-02,7.892317948463866140e-01,1.067371898522428975e+00,2.106993201127072279e-01,3.155469976957006595e-02
6.250000000000000000e-01,1.983388896839516358e-02,7.921600837789756211e-01,1.068115044844729633e+00,2.074913491763171747e-01,3.087302335955480204e-02
6.374999999999999556e-01,1.959193617897014850e-02,7.950785617783726611e-01,1.068856204073839411e+00,2.043463229290070349e-01,3.020886588036296450e-02
6.500000000000000222e-01,1.935374351754787225e-02,7.979869683712431661e-01,1.069595380822154107e+00,2.012629543382151165e-01,2.956174599095271957e-02
6.624999999999999778e-01,1.911923994088998713e-02,8.008850521143846546e-01,1.070332579725909561e+00,1.982399770950774853e-01,2.893119492348335958e-02
6.750000000000000444e-01,1.888835593527865564e-02,8.037725704377965963e-01,1.071067805453122856e+00,1.952761457974619419e-01,2.831675626194058229e-02
6.875000000000000000e-01,1.866102348970016811e-02,8.066492894917322021e-01,1.071801062685713068e+00,1.923702360829357416e-01,2.771798571437813358e-02
6.999999999999999556e-01,1.843717605313699437e-02,8.095149839877826548e-01,1.072532356137384957e+00,1.895210447196831460e-01,2.713445088033152736e-02
7.125000000000000222e-01,1.821674851172522258e-02,8.123694370538770970e-01,1.073261690537732571e+00,1.867273896507579412e-01,2.656573101351298802e-02
7.249999999999999778e-01,1.799967714505346095e-02,8.152124400733786747e-01,1.073989070642174193e+00,1.839881100087828458e-01,2.601141678267432367e-02
7.375000000000000444e-01,1.778589960331905528e-02,8.180437925480282813e-01,1.074714501231951669e+00,1.813020660845182375e-01,2.547111002851828662e-02
7.500000000000000000e-01,1.757535486859446161e-02,8.208633019290990651e-01,1.075437987096249381e+00,1.786681392791153455e-01,2.494442352138722535e-02
7.624999999999999556e-01,1.736798322900301450e-02,8.236707834882801560e-01,1.076159533060008666e+00,1.760852320101530255e-01,2.443098071596177048e-02
7.750000000000000222e-01,1.716372624793055524e-02,8.264660601687005004e-01,1.076879143956118279e+00,1.735522676007904552e-01,2.393041550717167620e-02
7.875000000000000888e-01,1.696252673323639382e-02,8.292489624280030558e-01,1.077596824639314832e+00,1.710681901476041877e-01,2.344237198686265761e-02
8.000000000000000444e-01,1.676432870944383202e-02,8.320193281092261861e-01,1.078312579984197939e+00,1.686319643572204707e-01,2.296650420052846753e-02
8.125000000000000000e-01,1.656907738993002033e-02,8.347770022918293842e-01,1.079026414883248020e+00,1.662425753704285802e-01,2.250247590626430066e-02
8.249999999999999556e-01,1.637671914812455221e-02,8.375218371526420569e-01,1.079738334242847042e+00,1.638990285659259749e-01,2.204996033543394143e-02
8.375000000000000222e-01,1.618720149168562106e-02,8.402536918248324493e-01,1.080448342991229271e+00,1.616003493492218779e-01,2.160863995577827490e-02
8.500000000000000888e-01,1.600047303965557166e-02,8.429724322628318056e-01,1.081156446066561250e+00,1.593455829253271339e-01,2.117820623685859327e-02
8.625000000000000444e-01,1.581648348869463261e-02,8.456779311032861512e-01,1.081862648424884998e+00,1.571337940617623385e-01,2.075835941893671918e-02
8.750000000000000000e-01,1.563518359718851780e-02,8.483700675279983727e-01,1.082566955040120460e+00,1.549640668385469100e-01,2.034880828457608093e-02
8.874999999999999556e-01,1.545652515445838926e-02,8.510487271348099458e-01,1.083269370892148364e+00,1.528355043878175668e-01,1.994926993385288255e-02
9.000000000000000222e-01,1.528046095990481801e-02,8.537138018025268726e-01,1.083969900984684376e+00,1.507472286262601102e-01,1.955946956312293317e-02
9.125000000000000888e-01,1.510694479917185085e-02,8.563651895578348050e-01,1.084668550325419423e+00,1.486983799807923001e-01,1.917914024773209603e-02
9.250000000000000444e-01,1.493593142030885668e-02,8.590027944441908092e-01,1.085365323941905880e+00,1.466881171074494172e-01,1.880802272853462562e-02
9.375000000000000000e-01,1.476737651390713779e-02,8.616265264006615077e-01,1.086060226869641765e+00,1.447156166020880375e-01,1.844586520203177898e-02
9.499999999999999556e-01,1.460123668727769664e-02,8.642363011228689773e-01,1.086753264160016386e+00,1.427800727136503411e-01,1.809242311552805224e-02
9.625000000000000222e-01,1.443746945054502628e-02,8.668320399457960512e-01,1.087444440866407680e+00,1.408806970467367525e-01,1.774745896550194296e-02
9.750000000000000888e-01,1.427603318685255473e-02,8.694136697126877422e-01,1.088133762062054366e+00,1.390167182669001800e-01,1.741074210093760885e-02
9.875000000000000444e-01,1.411688713945014051e-02,8.719811226558629169e-01,1.088821232828143470e+00,1.371873818006351387e-01,1.708204853048940833e-02
1.000000000000000000e+00,1.395999138785802840e-02,8.745343362735610304e-01,1.089506858249832622e+00,1.353919495354602986e-01,1.676116073408515442e-02
1.012500000000000178e+00,1.380530683098252220e-02,8.770732532047996743e-01,1.090190643432143780e+00,1.336296995210715932e-01,1.644786747911821875e-02
1.024999999999999911e+00,1.365279516725176334e-02,8.795978211181344486e-01,1.090872593480098685e+00,1.318999256659857677e-01,1.614196364033384720e-02
