n,k,rtol,tau,protocol,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
800,24,2e-09,0.8897975073614827,linear_J,-0.05457914345799725,-0.017543687459373236,-0.03703545599862401,,0.002531721509424415,0.020748697175528963,0.03636216779189261,0.043876515333471464,0.024739018486101973,0.02264607495303483,3.9228416931045667,9.806044865001695e-12,3.1017029523222437e-18,-9.71445146547012e-17
800,24,2e-09,10.0,smooth_b,-6.632224185071367e-05,0.002064834776972002,-0.002131157018822716,,0.002531721509424415,0.0011401749391837246,0.001457868812091312,0.0025945599225146395,0.0014894999372649655,0.0013423406123340028,0.18730526717012155,7.412861435796003e-10,3.1017029523222437e-18,-9.237402509576498e-17
800,24,2e-09,20.0,smooth_b,0.002411321741796979,0.0031522423004209377,-0.0007409205586239587,0.764954439408094,0.002531721509424415,5.276741573478905e-05,6.763235189255479e-05,0.0001203421858626478,6.911092884202132e-05,6.2264033531603e-05,0.034689027107134146,2.810087273985573e-09,3.1017029523222437e-18,-9.237402509576498e-17
800,24,2e-09,40.0,spectral_smooth,0.0025316303804710505,0.0032049697758259055,-0.000673339395354855,0.7899077238001914,0.002531721509424415,3.994032982124196e-08,5.1188623451103865e-08,9.064381191184409e-08,5.1883453131414195e-08,4.687762190670976e-08,0.02727181733766168,6.392633866703079e-09,3.1017029523222437e-18,-9.237402509576498e-17
1000,32,2e-09,0.8897975073614827,linear_J,-0.05458045300506198,-0.01754429207441699,-0.03703616093064499,,0.0025314649971111313,0.020748942436934426,0.0363629755652386,0.04387779725114074,0.02473926630036226,0.02264653197557724,3.9229197439947114,1.1284639889197479e-11,3.098047219308876e-18,-8.326672684688674e-17
1000,32,2e-09,10.0,smooth_b,-6.658242873291975e-05,0.002064487849618324,-0.0021310702783512436,,0.0025314649971111313,0.0011401625128991122,0.0014578849129448512,0.0025945637538127586,0.0014894729351579675,0.0013423322631341543,0.18730092971489531,6.035250077474075e-10,3.098047219308876e-18,-8.760353553682876e-17
1000,32,2e-09,20.0,smooth_b,0.0024110641200516536,0.0031518831167177686,-0.000740818996666115,0.7649598766093931,0.0025314649971111313,5.276724579966752e-05,6.763363125972255e-05,0.00012034329682911078,6.91102150332961e-05,6.226413119409068e-05,0.03468336070763939,2.0430793723491547e-09,3.098047219308876e-18,-8.760353553682876e-17
1000,32,2e-09,40.0,spectral_smooth,0.0025313739067876484,0.0032046104395889174,-0.000673236532801269,0.789916264240957,0.0025314649971111313,3.992292851862089e-08,5.116739487665001e-08,9.060538801777418e-08,5.186027059286823e-08,4.685733505079145e-08,0.027266022785265437,4.278776444266441e-09,3.098047219308876e-18,-8.760353553682876e-17
1400,48,2e-10,0.8897975073614827,linear_J,-0.05458161677541834,-0.01754488456843256,-0.03703673220698578,,0.0025312389177308196,0.02074921642713856,0.036363639266010384,0.04387890886309654,0.02473946798580652,0.022646918854010673,3.9229842778039847,1.3200551762793111e-12,3.0933369857026788e-18,-2.1510571102112408e-16
1400,48,2e-10,10.0,smooth_b,-6.681537773362001e-05,0.0020641781345372423,-0.0021309935122708623,,0.0025312389177308196,0.0011401537241687576,0.0014579005712954674,0.002594571081425279,0.001489450649299452,0.0013423265588839535,0.1872971245453707,2.95934388105934e-11,3.0933369857026788e-18,-2.1467203015212988e-16
1400,48,2e-10,20.0,smooth_b,0.002410838494832257,0.0031515653567040225,-0.0007407268618717655,0.7649654130459048,0.0025312389177308196,5.276650200197741e-05,6.763392089637055e-05,0.00012034284718646811,6.910872956488408e-05,6.226345988397993e-05,0.03467811922837627,5.003142344861544e-11,3.0933369857026788e-18,-2.1467203015212988e-16
1400,48,2e-10,40.0,spectral_smooth,0.0025311478637862206,0.003204291952144611,-0.0006731440883583906,0.7899242333683547,0.0025312389177308196,3.9906561388747264e-08,5.1147382995608837e-08,9.05691917484665e-08,5.1838415790366205e-08,4.683826464966789e-08,0.027260759434031417,9.705558579042872e-11,3.0933369857026788e-18,-2.1467203015212988e-16
1800,60,2e-10,0.8897975073614827,linear_J,-0.05458209575819756,-0.017545128536494536,-0.03703696722170302,,0.002531145931655324,0.0207493293948548,0.036363912294998135,0.043879366071214954,0.024739550966237138,0.022647077962335088,3.923010828876484,1.7856827128071018e-12,3.0913918618261302e-18,5.551115123125783e-17
1800,60,2e-10,10.0,smooth_b,-6.6911244852641e-05,0.002064050723873223,-0.002130961968725864,,0.002531145931655324,0.001140150134487039,0.0014579070420209783,0.0025945741519628573,0.0014894415151513235,0.0013423242419337517,0.18729556282417112,2.936129117614428e-11,3.0913918618261302e-18,5.2475385148298415e-17
1800,60,2e-10,20.0,smooth_b,0.0024107456884979173,0.003151434659112995,-0.0007406889706150777,0.7649676890894027,0.002531145931655324,5.276619924726722e-05,6.76340439101919e-05,0.00012034266931736997,6.9108122666086e-05,6.226318743183929e-05,0.03467596382259533,3.506961387955698e-11,3.0913918618261302e-18,5.2475385148298415e-17
1800,60,2e-10,40.0,spectral_smooth,0.002531054892693285,0.003204160958530433,-0.0006731060658371479,0.7899275115861022,0.002531145931655324,3.9899829828993205e-08,5.113913226217903e-08,9.055428410722077e-08,5.182942806074331e-08,4.683040160947536e-08,0.02725859460208438,3.5577762957927916e-11,3.0913918618261302e-18,5.2475385148298415e-17
