protocol,k,tau,contact,gamma,W,Qh,Qc,eta,power,sigma,sigma_hot,sigma_cold,residual,min_eigenvalue
linear_J,24,8,5,0.02,-0.00014690148958857086,3.457553078503207e-05,-0.00018147702037360294,,-5.65005729186811e-06,0.017715507902547393,0.0020401178060120775,0.01567539009653709,1.83179930315767e-12,1.2668143856377448e-16
linear_J,24,8,10,0.02,-0.00028413643387502547,0.0001462905614940214,-0.00043042699536904687,,-7.892678718750708e-06,0.04121406751822942,0.002791682008846565,0.038422385509385294,1.6396293270159962e-12,2.791016128339881e-16
linear_J,24,8,20,0.02,-0.0014253284035125058,-0.00018133534316929975,-0.001243993060343206,,-2.5452292919866175e-05,0.12666599782393684,0.012077554202120198,0.11458844362181798,1.6618118086120823e-12,1.5942192630516988e-16
linear_J,24,8,40,0.02,0.00021280445790117762,0.0008430932193777406,-0.000630288761476563,0.25240916782398226,2.216713103137267e-06,0.05249021090543454,0.009105267142914307,0.04338494376251968,6.664668840760068e-13,1.849503620672144e-18
linear_J,24,8,80,0.02,0.0006459849079212096,0.001717356496888626,-0.0010713715889674163,0.3761507346270592,3.670368795006873e-06,0.0856702026856338,0.012348262801489606,0.07332193988414352,8.582024071183718e-14,4.121688748711373e-21
linear_J,24,8,160,0.02,0.0009829801424316685,0.0023907833904638714,-0.0014078032480322029,0.41115399510992334,2.9255361381894895e-06,0.1108955324224219,0.0172561891039577,0.09363934331846663,2.1038726316844178e-14,-3.402397782839392e-21
spectral_smooth,24,8,5,0.02,-0.0009957247930105358,-0.00013151342803697803,-0.0008642113649735578,,-3.829710742348215e-05,0.088065054347818,0.003053739641728589,0.0850113147060903,1.904730065039206e-12,6.57038452394538e-21
spectral_smooth,24,8,10,0.02,-0.0008016612654391307,0.00010669090019920857,-0.0009083521656383393,,-2.22683684844203e-05,0.08950158031134381,0.0021243629423042852,0.08737721736904008,1.7219138306505888e-12,7.074976675380558e-21
spectral_smooth,24,8,20,0.02,-0.005900565545871395,-0.0016526977428457362,-0.004247867803025659,,-0.00010536724189056062,0.4454455020881376,0.028364011085983402,0.4170814910021591,1.7913219242295527e-12,1.4840056109197369e-21
spectral_smooth,24,8,40,0.02,-0.0025045277632838986,-0.0005149377418476719,-0.0019895900214362268,,-2.608883086754061e-05,0.20539572391671856,0.027089751222828362,0.17830597269389042,7.569500594255997e-13,6.735287498498738e-23
spectral_smooth,24,8,80,0.02,-0.002411710805357123,0.0006396388146749747,-0.003051349620032098,,-1.3702902303165471e-05,0.2971394768197726,0.02511044006662854,0.2720290367531445,8.68194405834298e-14,-3.3231534788522213e-21
spectral_smooth,24,8,160,0.02,-0.0023627581956851013,0.0010656785357571613,-0.0034284367314422626,,-7.032018439538992e-06,0.32952269144726176,0.03371614815765265,0.2958065432896051,2.0983215186065007e-14,-5.981474288389801e-19
linear_J,24,12,5,0.02,-0.0013620204205291016,-0.0004998714871430705,-0.0008621489333860311,,-4.005942413320887e-05,0.09246328692789149,0.008875186905772346,0.0835881000221157,1.6518735485185514e-12,4.732178579395615e-16
linear_J,24,12,10,0.02,-9.332062290423279e-06,0.00017532717820750992,-0.0001846592404979332,,-2.1209232478234724e-07,0.016274334322199446,0.0031752327754399007,0.013099101546760323,1.9904078484394916e-12,1.2631794620079766e-16
linear_J,24,12,20,0.02,8.11328497639192e-05,0.00047243065645797774,-0.00039129780669405854,0.17173493856687494,1.2677007775612376e-06,0.03322439746368113,0.004005766035233207,0.02921863142844859,1.3121725929738519e-12,1.0532291859115072e-16
linear_J,24,12,40,0.02,-0.0005829052476577633,0.0005739857195120783,-0.0011568909671698417,,-5.604858150555417e-06,0.10851427522308318,0.012072851302218074,0.09644142392086577,6.582512313164557e-13,2.6637221277293754e-19
linear_J,24,12,80,0.02,0.00028560901672473665,0.0015453607431776218,-0.0012597517264528852,0.1848170519314849,1.5522229169822644e-06,0.10665816335556824,0.014549841498266408,0.09210832185730361,8.654188499292475e-14,2.46855695359667e-22
linear_J,24,12,160,0.02,0.0013697691600460238,0.0025172116386838342,-0.0011474424786378104,0.5441613009394118,3.981887093157046e-06,0.08327910238023312,0.01570692052798464,0.06757218185225392,2.120525977035389e-14,-2.6008800797282003e-24
spectral_smooth,24,12,5,0.02,4.6499788761366094e-05,0.0001285648727647774,-8.20650840034113e-05,0.36168346579739724,1.3676408459225323e-06,0.006599447490781412,0.0009031143479550177,0.005696333142830391,1.7064128221352453e-12,1.0072380268207185e-21
spectral_smooth,24,12,10,0.02,0.00020892431879216363,0.0003075877037046557,-9.866338491249207e-05,0.6792349507988519,4.7482799725491735e-06,0.006021492194941011,0.001173457559005903,0.00484803463593755,1.998794677661819e-12,3.3452904486984226e-22
spectral_smooth,24,12,20,0.02,0.0004160382556892637,0.0005938568042722919,-0.00017781854858302823,0.7005699904357822,6.500597745144745e-06,0.010358644804899175,0.002677659851987403,0.007680984952906665,1.3096190879802843e-12,4.117421643553074e-23
spectral_smooth,24,12,40,0.02,0.0008879034798250486,0.0011911306903059089,-0.0003032272104808602,0.7454291011484351,8.537533459856236e-06,0.01543358741926216,0.004475076251253282,0.010958511168013874,6.582512321516277e-13,-3.2175902294095627e-24
spectral_smooth,24,12,80,0.02,0.0015832105724214822,0.0020865161148891395,-0.0005033055424676573,0.758781857050551,8.60440528489936e-06,0.02424910281065148,0.007863417604876567,0.01638568520577769,8.659739791343662e-14,-2.4927517854767378e-20
spectral_smooth,24,12,160,0.02,0.0021936523693679524,0.0028939986467034803,-0.0007003462773355278,0.7580004820896222,6.376896422581257e-06,0.033859644649759275,0.010995846416738252,0.02286379823301836,2.1094237469903365e-14,-1.6213382374359766e-20
linear_J,24,20,5,0.02,4.8440145131251625e-05,0.00012833382743666195,-7.989368230541032e-05,0.3774542230898462,9.688029026250325e-07,0.006385195387582758,0.000924132280431033,0.005461063107153169,1.9853287347817836e-12,8.371460850289099e-16
linear_J,24,20,10,0.02,0.00021202875664853217,0.00029769155708980267,-8.56628004412705e-05,0.7122430972557641,3.5338126108088696e-06,0.004845135580504516,0.00141099969651321,0.0034341358839907517,1.958211371966656e-12,5.481312535905524e-17
linear_J,24,20,20,0.02,0.00036559407313027626,0.0005734023131545804,-0.00020780824002430414,0.6375873705827164,4.569925914128453e-06,0.013613295087998158,0.002901581315990086,0.010711713772009739,1.3157253075666805e-12,4.6096000062481926e-18
linear_J,24,20,40,0.02,0.0008094351266898687,0.001150916677766328,-0.00034148155107645924,0.7032960268338464,6.745292722415573e-06,0.019761696635566827,0.005016620340462231,0.014745076295099267,6.610267895100477e-13,6.930941237240476e-19
linear_J,24,20,80,0.02,0.0015060351814623237,0.0020508269613724534,-0.0005447917799101297,0.734355072284819,7.530175907311619e-06,0.028843840973857303,0.008312058784136246,0.020531782189716616,8.659739617808012e-14,1.0517857746003085e-22
linear_J,24,20,160,0.02,0.002166414224144016,0.002880672295947312,-0.0007142580718032963,0.7520516051728086,6.017817289288934e-06,0.035417403480988235,0.011162900719766597,0.024254502761220417,2.0983215381880762e-14,-5.051128944276284e-21
spectral_smooth,24,20,5,0.02,0.00012595887404932065,0.00015978566575992643,-3.382679171060578e-05,0.7882989594233716,2.519177480986413e-06,0.0013853583490614973,0.0005559657081505541,0.000829392640909944,1.6939782969442995e-12,3.7364703506946673e-23
spectral_smooth,24,20,10,0.02,0.000250726275228912,0.0003189384914784744,-6.821221624956245e-05,0.7861273628863132,4.178771253815199e-06,0.0028344904814753148,0.0011025989457165005,0.001731891535757926,1.956657058779395e-12,-4.0177439900102647e-23
spectral_smooth,24,20,20,0.02,0.0004984164790269968,0.0006320475425856571,-0.00013363106355866034,0.7885743483599571,6.23020598783746e-06,0.00546251207354532,0.0021831301024771623,0.0032793819710612744,1.3095080576225497e-12,-1.279754336088472e-22
spectral_smooth,24,20,40,0.02,0.0009589315022496406,0.0012162496784336408,-0.00025731817618400015,0.7884330982801245,7.991095852080339e-06,0.010528696637979505,0.004214634482664596,0.0063140621553222365,6.588063428531981e-13,-1.518069035026161e-22
spectral_smooth,24,20,80,0.02,0.0016780876537703148,0.002126530714420093,-0.00044844306064977836,0.7891198760455858,8.390438268851574e-06,0.01826267213472667,0.007377195739200242,0.010885476395528983,8.670841967820333e-14,-5.690400108984095e-21
spectral_smooth,24,20,160,0.02,0.002329550945985523,0.002952095677755804,-0.0006225447317702805,0.789117698162296,6.470974849959787e-06,0.0253532772050805,0.010276413860136308,0.015076863344947747,2.098321569674491e-14,-9.747240938888657e-20
linear_J,24,40,5,0.02,8.116268243358801e-06,0.00010767974264425974,-9.956347440090094e-05,0.0753741422857261,9.018075825954224e-08,0.008610350657036848,0.0012129373333225084,0.007397413323712229,1.956858482950629e-12,4.067815655079834e-17
linear_J,24,40,10,0.02,0.00022812978233386925,0.0003047526154694674,-7.662283313559818e-05,0.7485736651757304,2.2812978233386924e-06,0.003852875620191475,0.0013219823085031182,0.0025308933116930197,1.956268480580834e-12,1.723237098279119e-17
